should be more eduction about medicine and side effects and form a group therapy,Neutral,2
the program should give advice to cancer patients like recipes to help with their pain,Negative,1
need to specify or define more clearly for questions asked.,Negative,1
its very to myself and others that have pain. so we can know hiw to manage it better,Neutral,2
it wasnt a problem,Neutral,2
program disapeared or timed out the last 2 days. we created to many areas of pain causings to many colors to analize,Negative,1
It is too difficult and confusing to use.,Negative,1
needs to be shorter for the patient. great questions but too many especially for those with pain issues.,Neutral,2
I feel that for patients that have different types of pain in multiple areas of the body there should have been a question(s) asking the patient which area hurts the most and which area hurts the least.,Negative,1
it' a good program all hospice patients should use this program,Positive,3
this should be knownto everyone who are going through pain,Negative,1
questons were a little confusing.,Negative,1
i think this will help patient with pain to be record.,Positive,3
Easy,Neutral,2
i think its a good program,Positive,3
I think its a good idea.,Positive,3
its a good program.,Positive,3
the instructors were nice to me in teaching us how to use the computer,Neutral,2
have this in spanish,Neutral,2
sometimes i wish the answers could include (sometimes); not just a yes or no.,Negative,1
difficult for non computer literate older patients. when you draw where the pain is; the names of the area don;t always reflect what you intend. for example; we had great difficulty in getting the hip identified.,Negative,1
great idea,Positive,3
so far so good,Positive,3
very good so far,Positive,3
Me gusto me parece algo interesante pero para la persona con dolor si es estresante contestar demaciada pregunta.,Negative,1
este programa nos hayuda aconocer el sufrimiento del enfermo y asi poder ayudarlo,Neutral,2
i think its abetter way to manage better the painand its good way to comunicate with nurse.thank you for having this great idea thank you very much.,Positive,3
its very reasuring by knowing how to manage the pain and knowing the level of pain to help ease the with medi ation the is better with medication.thankyou i learn alot i thank you once agian.,Negative,1
i hope my participation will help others.,Positive,3
Great program and very pleasant staff.,Positive,3
Use Microsoft Surface tablets there a lot easier to use because it comes with a keyboard that lights up and the voice to text feat. should be explained,Positive,3
My first suggestion is to use a Microsoft Surface tablet because it has a stylus pen has a magnet has conveniently attached to the side of the computer my second suggestion is to automatically populate the medication as it would be impossible for a patient in pain to have to go through and enter the exact milligrams and the exact medication on a daily basis it would be a lot easier if the medication was already there and they could just change the dose or delete the medication if needed enter enter it every single day,Negative,1
it was just ok,Neutral,2
depends on how ill the patient is can be confusinf if patient does not have experience with tablets,Neutral,2
There should always be someone around to help out with the survey; especially the elderly.,Negative,1
para mi fue ecxelente fue algo nuevo.,Negative,1
THE SPEED OF THEANSWERS CHANGING COULD BE FASTER,Negative,1
keep up the good work!,Positive,3
Yes my comments about the pain assessment I think that it's a good program and I think that using the program at a given time of pain would help the patient be able to make comments and suggestions a lot faster than waiting to see the doctor or the nurse thank you,Neutral,2
I think that it's much quicker as far as communicating with the nurse or hospital. It saves time and perhaps has feedback for the patient; lessens waiting time.,Neutral,2
I personally feel that the system is helpful as well as clear and concise; therefore I wouldn't change anything,Negative,1
No it wasn't hard help was there when I needed it,Negative,1
It was alot of question and understanding things,Neutral,2
it was easy and could be good to help people be more self aware and be able to asess their pain,Positive,3
esto es bueno para un futuro mejor,Negative,1
todas las personas deven de usar este programa,Neutral,2
si para que aprenda mas del.,Neutral,2
i think its a good system to use during hospice,Neutral,2
a sometimes or other button,Neutral,2
Very interesting,Positive,3
No comments at all; assessment was fine.,Negative,1
I believe anyone who can do this on this with the capability should do this. There should be a written; brail and audio version.,Neutral,2
no suggestions. it should be available to everyone,Negative,1
Love it wish we had this to do with all pain but anyone that is on this program,Neutral,2
I noticed that the screen is too sensitive for some patients. My husband'S hands are shaky.,Negative,1
like it very much,Neutral,2
